Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1034.0,18.0,56.0,1034.0,0.1,47.00799999999998,0.0,0.0,100.80493974685669,,,,,,,,,,,,,,,,,,,,,20.664202283754815,15.071493839382148,45.94264401750072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1088.0,19.0,54.0,1088.0,0.1,46.006999999999984,0.0,0.0,106.34787487983704,,,,,,,,,,,,,,,,,,,,,20.560094178136882,14.66075741624729,44.98668329428589,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1147.0,20.0,59.0,1147.0,0.1,49.00899999999998,0.0,0.0,112.4189875125885,,,,,,,,,,,,,,,,,,,,,21.252617093028018,15.759846961681836,47.8507492392406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,155.0,1.0,155.0,1302.0,0.1,142.01200000000006,0.0,0.0,245.6129641532898,,,,,,,,,,,,,,,,,,,,,63.39375383807493,41.23927348096995,132.4507371787187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,189.0,2.0,34.0,1336.0,0.1,25.00800000000001,0.0,0.0,249.52948117256165,,,,,,,,,,,,,,,,,,,,,10.215673062721867,8.561502710659374,24.710062530866665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,254.0,3.0,65.0,1401.0,0.1,56.00799999999998,0.0,0.0,256.4171566963196,,,,,,,,,,,,,,,,,,,,,24.954478710856733,17.629398441085804,54.49489417725464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,302.0,4.0,48.0,1449.0,0.1,40.006999999999984,0.0,0.0,261.42561960220337,,,,,,,,,,,,,,,,,,,,,17.686234155195603,12.937499381219855,39.23649451308226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,342.0,5.0,40.0,1489.0,0.1,32.006999999999984,0.0,0.0,265.54255867004395,,,,,,,,,,,,,,,,,,,,,13.857911937738374,10.59853562191047,31.515683373554204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,378.0,6.0,36.0,1525.0,0.1,28.00700000000001,0.0,0.0,269.4813165664673,,,,,,,,,,,,,,,,,,,,,11.949849762057692,9.406803309628266,27.632041860244563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,423.0,7.0,45.0,1570.0,0.1,36.00799999999998,0.0,0.0,274.4076404571533,,,,,,,,,,,,,,,,,,,,,15.421392451419178,11.872868117129112,35.384771497910464,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
