Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
71,3.0,0.0,0.0,1540.0,11.0,240.0,5616.0,0.1,225.01400000000007,0.0,0.0,986.2261230945587,,,,,,,,,,,,,,,,,,,,,99.30080489127208,61.786974938402516,201.584774790902,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1594.0,12.0,54.0,5670.0,0.1,47.005999999999986,0.0,0.0,992.0451602935791,,,,,,,,,,,,,,,,,,,,,21.427542585858834,14.804231125642218,45.94074825612763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1701.0,13.0,107.0,5777.0,0.1,96.01000000000005,0.0,0.0,1002.2887601852417,,,,,,,,,,,,,,,,,,,,,43.03200048765939,28.90343600489907,91.58866168252383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1739.0,14.0,38.0,5815.0,0.1,28.00900000000001,0.0,0.0,1006.3383438587189,,,,,,,,,,,,,,,,,,,,,11.322848381609203,9.536825796798981,27.63397207167013,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1767.0,15.0,28.0,5843.0,0.1,20.00700000000001,0.0,0.0,1009.5979616641998,,,,,,,,,,,,,,,,,,,,,8.165721110157886,6.961514292335569,19.817975942825285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1802.0,16.0,35.0,5878.0,0.1,26.00800000000001,0.0,0.0,1013.6730518341064,,,,,,,,,,,,,,,,,,,,,10.685501464240314,8.868737436768068,25.6853524683358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1904.0,17.0,102.0,5980.0,0.1,95.00600000000003,0.0,0.0,1023.5760924816132,,,,,,,,,,,,,,,,,,,,,44.23068521784121,27.898756179486735,90.675730893837,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,2025.0,18.0,121.0,6101.0,0.1,113.00700000000003,0.0,0.0,1035.2860293388367,,,,,,,,,,,,,,,,,,,,,52.18708360988307,32.82401686535027,106.90606811336279,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,2131.0,19.0,106.0,6207.0,0.1,96.00900000000004,0.0,0.0,1045.5252566337585,,,,,,,,,,,,,,,,,,,,,43.43700499764752,28.734267671460238,91.58776140529858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,2201.0,20.0,70.0,6277.0,0.1,61.00799999999998,0.0,0.0,1052.4385361671448,,,,,,,,,,,,,,,,,,,,,27.33418042289345,19.03173384643118,59.212974105634615,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,55.0,1.0,55.0,6332.0,0.1,47.006999999999984,0.0,0.0,1283.1978874206543,,,,,,,,,,,,,,,,,,,,,21.03892437334131,14.945774856406299,45.941696610991606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,206.0,2.0,151.0,6483.0,0.1,142.00800000000004,0.0,0.0,1297.6455199718475,,,,,,,,,,,,,,,,,,,,,65.06928732864208,40.45334255010931,132.44729976560657,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,292.0,3.0,86.0,6569.0,0.1,79.00600000000003,0.0,0.0,1306.3805046081543,,,,,,,,,,,,,,,,,,,,,36.69534087795053,23.62609463325092,76.00212894024783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,500.0,4.0,208.0,6777.0,0.1,200.00700000000003,0.0,0.0,1326.1378071308136,,,,,,,,,,,,,,,,,,,,,91.40696399397667,54.38712388028699,181.3568839001695,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,671.0,5.0,171.0,6948.0,0.1,161.00900000000004,0.0,0.0,1342.4797275066376,,,,,,,,,,,,,,,,,,,,,73.22975541905248,45.408277231635296,148.78413130181445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,798.0,6.0,127.0,7075.0,0.1,120.00600000000003,0.0,0.0,1354.71550655365,,,,,,,,,,,,,,,,,,,,,55.858604494214866,34.41889096254253,113.138120331778,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,885.0,7.0,87.0,7162.0,0.1,72.01400000000007,0.0,0.0,1363.5842623710632,,,,,,,,,,,,,,,,,,,,,30.314872956912197,22.843074072255128,69.51556767252602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,951.0,8.0,66.0,7228.0,0.1,59.005999999999986,0.0,0.0,1370.1987006664276,,,,,,,,,,,,,,,,,,,,,27.18023161977831,18.161429901681537,57.326700787969784,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,990.0,9.0,39.0,7267.0,0.1,29.00900000000001,0.0,0.0,1374.400797367096,,,,,,,,,,,,,,,,,,,,,11.790922314426885,9.843510296605105,28.606338099598457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,1027.0,10.0,37.0,7304.0,0.1,29.00700000000001,0.0,0.0,1378.7502031326294,,,,,,,,,,,,,,,,,,,,,12.426226941693049,9.706366069875953,28.604409818384315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1340.0,11.0,313.0,7617.0,0.1,282.02999999999986,0.0,0.0,1407.9617984294891,,,,,,,,,,,,,,,,,,,,,123.4039308864876,70.22229561707245,243.8921099603402,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1446.0,12.0,106.0,7723.0,0.1,97.00800000000004,0.0,0.0,1418.205960035324,,,,,,,,,,,,,,,,,,,,,44.31721400747141,28.820492629037822,92.49527336666803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1687.0,13.0,241.0,7964.0,0.1,232.00800000000004,0.0,0.0,1440.8705883026123,,,,,,,,,,,,,,,,,,,,,104.85419988375159,62.076461355959864,207.1522351460731,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1781.0,14.0,94.0,8058.0,0.1,86.00700000000003,0.0,0.0,1449.98459982872,,,,,,,,,,,,,,,,,,,,,39.57623834156781,25.69921225873675,82.4516544531445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,1875.0,15.0,94.0,8152.0,0.1,86.00700000000003,0.0,0.0,1459.1551270484924,,,,,,,,,,,,,,,,,,,,,39.57623834156781,25.69921225873675,82.4516544531445,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,2325.0,16.0,450.0,8602.0,0.1,440.0089999999998,0.0,0.0,1501.0734944343567,,,,,,,,,,,,,,,,,,,,,188.02166298893803,105.21527044762475,356.1111177794186,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,2478.0,17.0,153.0,8755.0,0.1,147.00500000000002,0.0,0.0,1515.6416127681732,,,,,,,,,,,,,,,,,,,,,68.65744217390396,41.026587276638374,136.77382221800656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,2577.0,18.0,99.0,8854.0,0.1,91.00700000000003,0.0,0.0,1525.2850091457367,,,,,,,,,,,,,,,,,,,,,41.92670263825121,27.0360786112435,87.03022986831992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,2742.0,19.0,165.0,9019.0,0.1,157.00700000000003,0.0,0.0,1540.951220035553,,,,,,,,,,,,,,,,,,,,,72.29424604307655,43.97974380754096,145.3690421180865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,3064.0,20.0,322.0,9341.0,0.1,315.00599999999986,0.0,0.0,1571.0663249492645,,,,,,,,,,,,,,,,,,,,,140.42201385260813,79.78715204146799,270.33050221338493,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
